claim_id,file_path,start_offset,end_offset,sentence,context_left,context_right
0e84ce337a314510b000415dcbfc4aea35ad5b76,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",83866,83922,logical pathways associated with both epilepsy and psy-, can also contribute to the dysfunction in neuro- ,"chosis. In addition, inflammatory and immune disor"
c6d6467452f925b56b7af1ad710e377f872ee0e7,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",85395,85446,"risk profiles associated with epilepsy, is crucial."," psychotropic  medications,  considering  unique  ",185 A better  understanding of the neurobiological
fd942b1b52990c53fab78b5a6fba5cf01945263c,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",88980,89047,"predict  long- term  effects  of  seizures,  and  evaluate  treat-","sychologists,  to  assess  cognitive  functions,  ",ment  impact.  Neuropsychological  assessments  re
43bce2f3c1276291e6c26a05da44fa5ae55d13ec,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",99750,99810,"tion plans, we can significantly improve the lives of indi-","tured,  collaborative,  and  cost- effective  ac- ",viduals with epilepsy. Bridging the gap between re
efe13f1d6517f4c9a3d2b5a3dd4ae167d7ca2f17,"Areas of research priorities in epilepsy- A position paper of the European Reference Network for Rare and Complex Epilepsies, EpiCARE.txt",150191,150247,ing to predict genes associated with dominant disorders.," A,  Rivolta  C.  DOMINO:  using  machine  learn- ", Am J  Hum Genet. 2017;101(4):623–9.   163.  Brunk
be77caf93e3ad33376a50ef460f3f979366be9da,Clinical and genetic landscape of epilepsies with absence seizures and single-gene etiology 2025.txt,2359,2423,STARD9—had not been previously associated with absence seizures.,"  and  SCN1A.  Four  genes—HESX1,  NCKAP1,  SON,  "," In 35% of  patients, absence seizures were the on"
5d04c58339ae945a7dfa81b2f2b9380d07344891,Clinical and genetic landscape of epilepsies with absence seizures and single-gene etiology 2025.txt,3138,3216,occurred in 58% and was significantly associated with atypical features (p < .,/epi  Epilepsia. 2026;67:272–290.        |  273  ,03).  Using existing International League Against 
f6d29720010476ed77bbe89b0f7134a64608c24f,Clinical and genetic landscape of epilepsies with absence seizures and single-gene etiology 2025.txt,3631,3642,We found,"drug- resistant epilepsy, and early absence onset.", no  difference  in  the  prevalence  of  drug  re
435a0bff33568fa1b70d3ff4316031c514bdf66f,Clinical and genetic landscape of epilepsies with absence seizures and single-gene etiology 2025.txt,7645,7687,genic etiologies are associated with DEEs.,"  types  of  epilepsy.8,9  Almost  90%  of  mono- ", By comparison  only  5%  of  “epilepsy  genes”  a
b8ec9dd9a87f767503f2e4bce671f7d49d481577,Clinical and genetic landscape of epilepsies with absence seizures and single-gene etiology 2025.txt,11842,11904,"identify  significant  independent  outcome  predictors,  we",velopmental  disorder  at  last  follow- up.  To  ,constructed  a  multivariable  logistic  regressio
d5e775900b7d97bcd416217c9b77ee7cb0dbb08e,Clinical and genetic landscape of epilepsies with absence seizures and single-gene etiology 2025.txt,11964,12023,including  the  variables  that  emerged  as  significant,d  a  multivariable  logistic  regression  model  ,"(p < .05)  in  the  univariate  analyses,  using  "
7c180162b3b21b01a21ab9089a3a50ffa7498d98,Clinical and genetic landscape of epilepsies with absence seizures and single-gene etiology 2025.txt,19219,19267,"However, a significant proportion of patients","th  febrile  seizures  plus  (GEFS+)  (n = 1, 1%).","(n = 96,  60%)  could  not  be  classified  within"
4eeb4bc14995475b0b6a41622f5dad3a4815adde,Clinical and genetic landscape of epilepsies with absence seizures and single-gene etiology 2025.txt,35011,35071,found significant univariate associations between intellec-,"izure onset (mean 56 vs 38 months, p = .039). We  ",tual disability and other neurodevelopmental comor
9ce73d692ab72b28378530764a29d34bccb566e9,Clinical and genetic landscape of epilepsies with absence seizures and single-gene etiology 2025.txt,35991,36023,|  Novel genes associated with, predictors of un- favorable outcomes (Table 3).  , 3.7  absence seizures  We  identified  four  gene
e453e17ad76cb60eb315b2bf318758b4248a7d16,Clinical and genetic landscape of epilepsies with absence seizures and single-gene etiology 2025.txt,50729,50789,not  significantly  delayed  and  head  circumference  was,e  and  valproate.  Developmental  progress  was  ,"normal,  but  minor  facial  dysmorphisms  were  p"
571fdd2e7b6adbee163089ddc031b50b2ab37a5f,Clinical and genetic landscape of epilepsies with absence seizures and single-gene etiology 2025.txt,52294,52351,"or EEG features, and when associated with developmental","t  with  early  onset,  atypical  clinical,  and/ ",delay or drug resistance.  Insights  from  genetic
04a2808f0c3200c6579aced54fad466e1ac8a846,Clinical and genetic landscape of epilepsies with absence seizures and single-gene etiology 2025.txt,59490,59549,A  significant  proportion  of  patients  in  our  cohort,"  currently  achieved  in  this  condition.15,39  ",exhibited  neurodevelopmental  comorbidities  (84%
4f1b336c9657359b5968579039a408dc2653e7ab,Clinical and genetic landscape of epilepsies with absence seizures and single-gene etiology 2025.txt,73566,73627,HESX1/Hesx1 associated with septo- optic dysplasia in human,"ensson IL, et al. Mutations in the homeobox gene  ",and  mouse.  Nat  Genet  [Internet].  1998  Jun  [
26cc019d927789c15aa55963d7d0b9918c1c0b9f,Deep learning applied in epilepsy- Bibliometric and visual analysis.txt,2913,2975,"associated with epilepsy can lead to physical injuries, while",nd quality of life.1 The sudden seizures commonly ,the unpredictability of the condition might result
a6cb22fb5b609ffe0795bfe10335f1e5c62bde01,Deep learning applied in epilepsy- Bibliometric and visual analysis.txt,16454,16514,"States is linked to many countries, and Japan, South Korea,","e United Kingdom, the United  6  DIGITAL HEALTH  ",and the Chinese are active in cooperation. In Afri
7682e339df9689a4b223043261906f582331d40a,Deep learning applied in epilepsy- Bibliometric and visual analysis.txt,51987,52044,which have signiﬁcantly improved diagnostic and predict-,"el optimization (such as LSTM and hybrid models), ","ive performance.36,40  As shown in Figure 6(c), ke"
f7c1aec774454252e7b5b346077371b0f97dbbc7,"Detection of epileptic seizure events using pre‐trained convolutional neural network, VGGNet and ResNet. 2026.txt",3910,4046,"Misdiagnosis of epilepsy can be a significant concern as it can lead to inappropriate treatment, unnecessary medical interventions, and",ley & Sons Ltd.  1 of 17  2 of 17  THARA ET AL.  , decreased quality of life for individuals affecte
48a620311c6c57ce7cd64650d8e55ce8dd6c9f1d,"Detection of epileptic seizure events using pre‐trained convolutional neural network, VGGNet and ResNet. 2026.txt",13472,13582,"They constructed a CNN model which can predict EEG of different stages like ictal, pre-ictal, and inter-ictal.",ation intensity existing between the electrodes.  , The results were evaluated by com-  paring with s
c0dc071632ac4c21a4c5f70ae6b13290e184f0d7,"Detection of epileptic seizure events using pre‐trained convolutional neural network, VGGNet and ResNet. 2026.txt",26270,26328,components that are associated with different brain waves.,The EEG signal is composed of different frequency ," For example, delta waves (0.5–4 Hz) are associate"
953b04ec4723ff9b4af6a8a44b21e38faf955945,"Detection of epileptic seizure events using pre‐trained convolutional neural network, VGGNet and ResNet. 2026.txt",26357,26409,"5–4 Hz) are associated with deep sleep, while alpha","ifferent brain waves. For example, delta waves (0.",waves (8–13 Hz) are associated with relaxed wakefu
179ca9f7a790a415a35e80d41d9b2070ca149354,"Detection of epileptic seizure events using pre‐trained convolutional neural network, VGGNet and ResNet. 2026.txt",26409,26465,waves (8–13 Hz) are associated with relaxed wakefulness.,"4 Hz) are associated with deep sleep, while alpha ", The frequency range of 0.5–100 Hz includes the ma
48aa70d5558e915b18918a7e44bc6d711c8b7187,"Detection of epileptic seizure events using pre‐trained convolutional neural network, VGGNet and ResNet. 2026.txt",41061,41178,"able metric in cases of imbalanced datasets, where the number of instances in different classes varies significantly.","l classes. However, it may not be the most suit-  ",  AUC is used to evaluate the performance of a bin
c699d2071797065f798e0277ce641929ac3d86f9,"Detection of epileptic seizure events using pre‐trained convolutional neural network, VGGNet and ResNet. 2026.txt",53297,53367,We observed from the results these models are very promising to work, dataset from Temple University Hospital database., on epilepsy disease detection. ResNet and VGGNet 
9774bc126e21a6bb91a8b11caa5f32efa5bb8ed4,EBSCO-FullText-06_12_2026.txt,6748,6810,in neurogenesis have been associated with distinct behavioral, than ventral regions.30 Axis-speciﬁc differences ,"tendencies31; for example, increased neurogenesis "
d9ab0f4287b33661e4c8316b8516926586fe8d3e,EBSCO-FullText-06_12_2026.txt,6874,6931,ventral DG have been linked to continued use of outdated,"for example, increased neurogenesis in dorsal and ","spatial rules in reversal tasks, and reduced explo"
92fbab8a53c1890b4f61d59339422d51a9e56b84,EBSCO-FullText-06_12_2026.txt,11519,11589,Enriched expression of genes associated with cognition and affect has,n may vary with behavior and cognitive demands.21 ,"been shown in rodents and humans, however smooth g"
f8e911b31584dca56d3286bd19c38677b78d6602,EBSCO-FullText-06_12_2026.txt,14920,14967,this typical pattern is associated with memory," hippocampus.72 In TD children, preser- vation of ",ability.19 Functional magnetic resonance imaging (
e9120b0892ec1948c0e15dca2f86e9915506a326,EBSCO-FullText-06_12_2026.txt,16764,16803,lobe epilepsy (TLE) is associated with,"s, observational studies have generally supported ",that lower verbal memory scores and right TLE with
7834da344d8156f4bb6e81d513d47db7a865dbc6,EBSCO-FullText-06_12_2026.txt,19473,19538,there is some evidence that faster ambulation is associated with,"and body, under varying task conditions. However, ","higher frequency theta activity (8 Hz), akin to ro"
99eb710560a07c253b9fc1c408597c19928294b7,EBSCO-FullText-06_12_2026.txt,39199,39241,axis is gradual and predicts recollection.,al organisation of the hippocampus along its long , Cortex. 2019;119:324- 335. doi:10.1016/j.cortex.2
45268c1c334f664f6b6947b76a7783f251fed174,EBSCO-FullText-06_12_2026.txt,39520,39575,Distinct cortical anatomy linked to subregions of the,"drews-Hanna JR, Vincent JL, Snyder AZ, Buckner RL.",medial temporal lobe revealed by intrinsic functio
f69b6ee340b31b010d0e964130174c1bf1bac780,"Etiology, Symptoms, and Treatment of Epilepsy- Advances and Perspectives 2026.txt",790,880,and immune-mediated etiologies that have significant variations in terms of both clinical," diverse range of genetic, structural, metabolic, ","symptoms and therapeutic outcomes [3,4]. This Spec"
3cbe1b07b017b6c18186297e14337b49c61e9876,"Etiology, Symptoms, and Treatment of Epilepsy- Advances and Perspectives 2026.txt",2271,2355,"trauma, infections, or stroke are still significant contributors to epilepsy [7,11].","tural lesions due to developmental malformations, "," On the other hand, neuroimaging advances offer be"
c9f2817598a270789b36827a58d82e0693723943,"Etiology, Symptoms, and Treatment of Epilepsy- Advances and Perspectives 2026.txt",5058,5143,reduction in seizures and significant improvement in quality of life are worth high-,"the case series in this Special Issue [5,33]. The ",lighting [34]. This is a form of closed-loop neuro
f59528d08e7ec6ae5a5c1852f81592ec6b6a92cd,"Etiology, Symptoms, and Treatment of Epilepsy- Advances and Perspectives 2026.txt",7039,7129,"use, diet, and exercise) bear significantly on seizure control and adherence to treatment","luding sleep hygiene, levels of stress, substance ","regimens [42,43]. Poor sleep hygiene, for example,"
2655ab4f03dce6d7db86c221c6f77d5edfa7623a,"Etiology, Symptoms, and Treatment of Epilepsy- Advances and Perspectives 2026.txt",7217,7305,"indeed, studies have shown that poor sleep hygiene is associated with increased seizure","for example, is a recognized seizure precipitant; ","frequency [44,45]. Many patients do not appreciate"
03f316446f1b13bd0821240d0b4401ce85076881,"Etiology, Symptoms, and Treatment of Epilepsy- Advances and Perspectives 2026.txt",8170,8246,"disease, which decreases the anxiety associated with unpredictable seizures.","gram, providing them with more control over their "," Depression, anxiety, and social isolation are com"
ae6d0436457e7abd709c414365f36c67804dc3b2,"Etiology, Symptoms, and Treatment of Epilepsy- Advances and Perspectives 2026.txt",8814,8898,"Nevertheless, the stigma associated with epilepsy remains a significant obstacle to",ealth but also compliance and treatment outcome.  ,"social integration, employment, and education in m"
ea2e47b8f70310da74fa9d9d0e50d42f302b7e45,"Etiology, Symptoms, and Treatment of Epilepsy- Advances and Perspectives 2026.txt",14638,14727,Immunological Imbalances Associated with Epileptic Seizures in Type 2 Diabetes Mellitus.,"633. [CrossRef]  14. Phoswa, W.N.; Mokgalaboni, K."," Brain  Sci. 2023, 13, 732. [CrossRef]  https://do"
bdb8b95162640b0dbe7289591511a25b42cfeb15,"Etiology, Symptoms, and Treatment of Epilepsy- Advances and Perspectives 2026.txt",18142,18198,Social determinants of health associated with epilepsy,"ow, J.M.; Miller, W.R.; Tanner, A.L.; Austin, J.K.",treatment adherence in the United States: A scopin
f00883386f0a4e9dabf81effd7ee5679f212306d,Interictal spikes and epileptic seizures- their relationship and underlying rhythmicity. 2026.txt,714,790,Abstract: We report on a quantitative analysis of electrocorticography data, PageEnd: 1078 PageCount: 13 Volume: 139 Issue: 4 ,from a study that acquired continuous ambulatory r
314c473401eb9252edc6dc52df53426e7332f493,Interictal spikes and epileptic seizures- their relationship and underlying rhythmicity. 2026.txt,1363,1455,"clinically correlated, electroencephalographically identical but not clinically correlated,", were confirmed manually and classified as either ,or subclinical. We found that spike rate was signi
0c99eb11d03a759aa8abc07f759e4f9965670340,Interictal spikes and epileptic seizures- their relationship and underlying rhythmicity. 2026.txt,1470,1544,We found that spike rate was significantly altered prior to seizure in 9,"cal but not clinically correlated, or subclinical.",out of 15 subjects. Increased pre-ictal spike rate
aea94b6fbb35c5005b6ff6096b0034e215267bff,Interictal spikes and epileptic seizures- their relationship and underlying rhythmicity. 2026.txt,1563,1634,Increased pre-ictal spike rate was linked to improved predictability;, altered prior to seizure in 9 out of 15 subjects.,"however, spike rate was also shown to decrease bef"
58aac24724b8816e6ae841876e31bb710b8b6e55,Interpretable EEG biomarkers for neurological disease models in mice using bag-of-waves classifiers.txt,3479,3572,approach to predict the genotypes of individual mice from the occurrence counts of waveforms,kgrounds. Approach. We propose a machine learning ,that approximate short windows of the EEG. That is
42a3df2d0d1cbdf7f98bd7772849c2cf60700e71,Interpretable EEG biomarkers for neurological disease models in mice using bag-of-waves classifiers.txt,5951,6003,content) associated with genotypes can be useful to,rs (descriptors of waveform patterns or frequency ,understand the link between genetics and neural ne
ab366f0c800425d50a721745800fd8dd1f9a2f55,Interpretable EEG biomarkers for neurological disease models in mice using bag-of-waves classifiers.txt,11508,11564,Shapley values that correlate with a class of genotypes.," mean [34, 35]. We propose to find the waveforms’ "," Importantly, these could be waveforms with a nega"
93fad621dfced97c858957a769020c244c203f9e,Interpretable EEG biomarkers for neurological disease models in mice using bag-of-waves classifiers.txt,11775,11813,values that correlate with a genotype., waveforms with positive coefficients and Shapley ," Together, the waveform shape, spectral content, a"
4d8ac09d1f3cd6abf211a488eade32866164053d,Interpretable EEG biomarkers for neurological disease models in mice using bag-of-waves classifiers.txt,18159,18175,To predict the,ined to pre- dict the class label of each segment.,"class of an individual, a single bag-of-waves is c"
d8e77e9e8a0b00cc221b2b7db49138310064fcd0,Interpretable EEG biomarkers for neurological disease models in mice using bag-of-waves classifiers.txt,18288,18339,Classifiers are trained to predict the joint gen-,cross segments sampled throughout the time series.,"otype, components of the genotype (strain and TSC-"
cabaf0ae2a6323424ece6c9dbb53002cd1fbbc67,Interpretable EEG biomarkers for neurological disease models in mice using bag-of-waves classifiers.txt,38973,39028,"sion [52], which is also necessary for correlated fea-","nts, via ℓ2 2 regularization, as in ridge regres- ",ture dimensions. Correlated features are possible 
79e89e799d83e78d522eb163f67dd0e5257a1385,Interpretable EEG biomarkers for neurological disease models in mice using bag-of-waves classifiers.txt,39044,39081,Correlated features are possible if,lso necessary for correlated fea- ture dimensions.,similar waveforms are in different class-condition
154a257244696c21df8cd2b46293bc0b59f9b41b,Interpretable EEG biomarkers for neurological disease models in mice using bag-of-waves classifiers.txt,41596,41644,two independent models: one that predicts back-,"2. We train models for the joint 6 class problem, ","ground strain and one for TSC-genotype, and TSC- g"
012e6a5e79c989118ca5e06d058ae5a8b6d46522,Interpretable EEG biomarkers for neurological disease models in mice using bag-of-waves classifiers.txt,49583,49619,positively correlate with the class., have positive coefficients and whose counts also ," Finally, we compute summary statistics about the "
a0b4b22c605edb7bb0075e6b1250245411018d77,Interpretable EEG biomarkers for neurological disease models in mice using bag-of-waves classifiers.txt,56216,56272,classifier without pooling yields a significantly lower,CW.  Taking predictions for 1 h segments with BOW ,average accuracy of 0.63 ± 0.01. Using only 10 min
f649dc6ad4aa45ad794a0ada1f06e7ca6fcc2c09,Interpretable EEG biomarkers for neurological disease models in mice using bag-of-waves classifiers.txt,57258,57313,a class-conditional classifier to predict the presence," Given the true background-strain class, we train ",of the TSC1 knockout in heterozygous individuals (
a0eb4866317fde8b62fb07c96ce0e15a191c98e5,Interpretable EEG biomarkers for neurological disease models in mice using bag-of-waves classifiers.txt,66118,66167,ACSSVs but be negatively associated with a class.,use a waveform occurrence feature may have a high , The  ACSSV are interpreted by examining each wave
3f6750514ce9a3e039bd50ca28a19e0bf4c41475,Interpretable EEG biomarkers for neurological disease models in mice using bag-of-waves classifiers.txt,68279,68405,"outlined points correspond to waveforms whose Shapley values positively correlate with the TSC genotype, whereas red outlines"," (relative to maximum in a given plot), and black ",negatively correlate. The marker color corresponds
e826c549d351a6e4a43a7196fbb808c0d8ffb482,Interpretable EEG biomarkers for neurological disease models in mice using bag-of-waves classifiers.txt,68405,68426,negatively correlate.,"elate with the TSC genotype, whereas red outlines ", The marker color corresponds to the peak frequenc
63ce662155e74937375439e595eefe6cebe39009,Interpretable EEG biomarkers for neurological disease models in mice using bag-of-waves classifiers.txt,72140,72188,strain background in which we observed spontan-,ackground is intriguing because this was the only ,"eous seizures, suggesting that neural activity in "
13b2e6e7bda08fb9861b1eb3bf5c134b5313ff8a,Interpretable EEG biomarkers for neurological disease models in mice using bag-of-waves classifiers.txt,74789,74837,3rd waveforms associated with the TSC1 knockout,"leep, locomotion, etc. In particular, the 2nd and ",in DBA2 strain (DBA2Het) in Fold 0 (figure 8) coul
